Edge,TimeStartEdge,Distance,Accidents
394078,10.20,697,0
55597,10.27,737,0
118961,10.33,551,0
274960,10.38,152,0
154578,20.15,291,0
142205,20.38,1875,0
258113,9.07,75,0
246682,9.17,1951,0
13125,17.20,168,1
246691,17.25,395,0
2211,10.17,1803,0
6894,16.18,1763,0
361923,16.25,2786,0
449222,10.17,69,0
27217,10.18,7179,0
268627,10.32,65,0
168,17.15,7265,0
312970,17.28,1062,0
312956,17.32,896,0
393476,17.33,60,0
409718,9.22,322,0
296441,16.07,30,0
63495,16.15,47,0
274090,16.30,204,0
417580,16.38,152,0
8226,16.45,117,0
269721,9.35,110,0
402421,20.08,67,0
94507,20.13,27,0
302862,20.33,79,1
118974,20.48,99,0
241078,20.48,445,0
273434,8.13,71,0
209197,14.05,214,0
241903,14.15,145,0
414729,14.18,159,0
310417,14.35,276,0
202049,14.38,433,1
369238,9.00,23,0
64309,21.07,93,0
14970,20.02,36,0
302779,20.10,35,0
179601,20.12,54,0
403871,18.02,51,1
403941,18.03,146,1
29908,18.08,211,0
182942,18.18,79,0
294956,18.22,176,0
449594,18.25,31,0
188060,18.32,59,0
12460,18.33,16,0
292084,1.35,194,0
403941,1.35,146,1
417757,13.03,427,0
180180,13.12,113,0
180162,13.13,24,0
244994,13.23,15,0
241475,19.00,165,0
180182,19.20,74,0
294956,7.27,176,0
449588,7.30,93,0
280789,15.02,22,0
130030,15.15,96,0
13783,9.15,339,0
315259,9.18,73,0
2211,21.23,1803,0
240661,21.28,608,0
394099,8.18,229,0
458284,15.02,398,0
187954,15.08,2095,0
30395,15.30,719,0
350835,7.18,2401,0
396096,7.33,523,0
400840,7.38,118,0
124847,7.42,69,0
480309,7.60,384,0
6186,7.63,452,0
396103,17.53,2580,0
396106,17.57,2706,0
454021,17.75,276,0
236468,20.30,156,0
240338,14.22,1300,0
132876,14.28,376,0
50204,2.03,93,0
272841,2.12,487,0
6476,2.25,1039,0
275182,10.00,29,0
282683,15.03,40,0
260994,0.03,201,0
416679,0.03,76,1
471146,0.15,63,0
461708,10.03,94,0
240194,10.08,79,0
25627,10.10,13,0
354473,20.22,131,0
331681,20.23,85,0
461718,20.32,233,1
267630,16.02,79,0
451106,10.07,17,0
433792,17.08,23,0
240761,10.02,16,0
13111,10.07,40,0
169604,18.22,40,0
424409,11.07,534,0
12981,18.05,95,0
180216,14.10,110,0
274393,14.13,65,0
146543,17.07,265,0
416686,15.25,252,0
182246,2.17,35,0
182405,2.18,710,0
11136,15.22,176,0
14514,15.30,20,1
25236,2.17,253,0
55535,7.02,340,0
32391,7.17,208,0
142124,7.27,13,0
10848,7.33,21,1
411588,17.30,476,0
9837,17.33,481,0
272744,9.02,134,0
302674,9.33,35,0
180226,17.25,282,0
435330,18.00,20,0
117925,18.02,84,0
29921,8.13,215,0
446770,8.32,12,0
252808,12.30,85,0
244081,9.12,20,0
461651,21.25,289,0
33582,7.13,48,0
10711,18.00,45,0
11213,18.17,10,1
392827,18.18,97,0
269719,2.03,35,0
14982,2.12,257,0
414413,2.18,284,0
209084,8.12,118,0
209197,17.02,214,0
